Date ID,Open,High,Low,Close,Adj Close,Volume,Date pos,Date 
8,175.699997,177.529999,173.520004,176.979996,176.979996,828000,159,8-Jun-20
9,175.839996,176.860001,171.550003,172.630005,172.630005,1416200,160,9-Jun-20
10,172,175.509995,172,174.429993,174.429993,1148900,161,10-Jun-20
11,175.050003,175.050003,171.839996,173.139999,173.139999,1093200,162,11-Jun-20
12,173.139999,174.720001,170.559998,172.550003,172.550003,916200,163,12-Jun-20
13,171.990005,173.929993,170.720001,173.020004,173.020004,700600,164,13-Jun-20
14,173.300003,175.580002,172.699997,175.389999,175.389999,892900,165,14-Jun-20
15,175.119995,175.600006,171.169998,172.669998,172.669998,1591300,166,15-Jun-20
16,173.130005,174.070007,170.460007,171.059998,171.059998,858300,167,16-Jun-20
17,170.679993,172.850006,169.570007,171.190002,171.190002,918500,168,17-Jun-20
18,171.779999,174.139999,171.050003,172.5,172.5,913400,169,18-Jun-20
19,172.960007,174.160004,170.259995,172.830002,172.830002,1296200,170,19-Jun-20
20,171.509995,171.800003,164.520004,166.600006,166.600006,1512000,171,20-Jun-20
21,163.960007,165.570007,157.240005,161.710007,161.710007,1507800,172,21-Jun-20
22,157.059998,159.630005,153.300003,156.220001,156.220001,2165600,173,22-Jun-20
23,159.660004,160.360001,156.119995,158.589996,158.589996,1457400,174,23-Jun-20
24,158.5,161.360001,153.610001,154.320007,154.320007,1137500,175,24-Jun-20
25,156.809998,156.809998,151.630005,153.529999,153.529999,1176600,176,25-Jun-20
26,155.190002,157.649994,154.320007,156.479996,156.479996,1022000,177,26-Jun-20
27,157.529999,161.410004,157.320007,160.589996,160.589996,1071100,178,27-Jun-20
28,160.860001,162.979996,156.490005,157.070007,157.070007,1052400,179,28-Jun-20
29,153.589996,159.470001,153.589996,159.449997,159.449997,1310400,180,29-Jun-20
30,161.029999,161.25,157.369995,158.490005,158.490005,1892400,181,30-Jun-20
July,157.059998,164.729996,157.009995,164.339996,164.339996,1508700,182,1-Jul-20
2,166.25,166.860001,161.360001,166.220001,166.220001,1053400,183,2-Jul-20
3,165.580002,166.309998,161.889999,162.309998,162.309998,996600,184,3-Jul-20
4,160.270004,165.929993,160.270004,163.289993,163.289993,768000,185,4-Jul-20
5,162.570007,166.470001,161.5,165.779999,165.779999,829800,186,5-Jul-20
6,167.369995,167.949997,164.820007,167.460007,167.460007,979100,187,6-Jul-20
7,166.600006,167.350006,163.910004,164.339996,164.339996,1216300,188,7-Jul-20
8,164.789993,166.25,162.809998,165.220001,165.220001,929100,189,8-Jul-20
9,166.479996,168.029999,165.679993,166.110001,166.110001,1047400,190,9-Jul-20
10,162.619995,164.199997,157.820007,160.149994,160.149994,1255800,191,10-Jul-20
11,161.929993,164.960007,161.179993,164.759995,164.759995,853600,192,11-Jul-20
12,164.899994,167,161.399994,162.199997,162.199997,1064400,193,12-Jul-20
13,162.559998,163.529999,159.490005,160.960007,160.960007,984800,194,13-Jul-20
14,162.460007,162.919998,159.070007,160.419998,160.419998,904800,195,14-Jul-20
15,161.130005,162.699997,160.759995,161.639999,161.639999,611900,196,15-Jul-20
